Chinese Words,pinyin,English Words,Chinese Sentence,_HSK,_Dao,Color,Encountered,ID,Formal
地方,dìfang,This is really a good [place] to study.,这真是个学习的好[地方],1,1.2,5,0,6,
地方,dìfang,The [local] government is building a new road.,[地方]政府正在修建一条新路。,1,1.2,5,0,6,
地方,dìfang,There is no [room/space] on the bookshelf for more books.,书架上没有放书的[地方]了。,1,1.2,5,0,6,
地方,dìfang,He has many [aspects/points] that are worth my learning.,他有很多值得我学习的[地方]。,1,1.2,5,0,6,
不过,búguò,"He is very rich, [but/however] he is very low-key.",他很有钱，不过人很低调。,2,1.3,5,0,30,
不过,búguò,I was [only/just] joking.,我不过是开个玩笑,2,1.3,5,0,30,
介绍,jièshào,He is [introducing] the startup process of this software to the majority of his new colleagues.,他正在向多数新同事介绍这款软件的开机流程。,1,1.4,,0,78,
介绍,jièshào,"His [introduction] was very detailed, but the network security issues mentioned in it sounded very scary.",他的介绍非常详细，但其中提到的网络安全问题听起来很可怕。,1,1.4,5,0,78,
过去,guòqù,Something happened over there; let's [go over] and take a look.,那边出了点事，我们过去看看吧。,2,1.4,5,0,84,
过去,guòqù,Don’t always live in [the past]; we need to look toward the future.,不要总是活在过去，我们要向未来看。,2,1.4,5,0,84,
地点,dìdiǎn,Please send me the [location/venue] of the meeting.,请把会议的[地点]发给我。,1,1.5,5,0,103,
对方,duìfāng,"When in a relationship, we should consider things more from the [other person's] perspective.",谈恋爱的时候，我们要多站在对方的角度考虑问题。,3,1.8,5,0,200,
对方,duìfāng,"If the [other party] does not agree to this price, we may need to renegotiate.",如果对方不同意这个价格，我们可能需要重新谈判。,3,1.8,5,0,200,
对方,duìfāng,The [opponent's] defense is very strong; it's hard for us to find a breakthrough.,对方的防守非常强，我们很难找到突破口。,3,1.8,5,0,200,
开车,kāichē,I don’t know how [to drive],我不会[开车]。,1,1.9,5,0,218,
开车,kāichē,"On the [drive] back, let's stop by a convenience stall.",[开车]回来的路上，我们去一下便利店吧。,1,1.9,5,0,218,
开车,kāichē,Let's [drive] to town.,我们[开车]进城吧。,1,1.9,5,0,218,
开车,kāichē,He is currently [driving] on the road.,他正在[开车]。,1,1.9,5,0,218,
动手,dòngshǒu,"Don't just talk about it, hurry up and [start doing it].",别光用嘴说，快动手做吧。,5,2.2,5,0,340,
动手,dòngshǒu,He assembled this model airplane himself [by hand].,这个航模是他自己动手组装的。,5,2.2,5,0,340,
动手,dòngshǒu,"Let's talk this out peacefully, absolutely do not start [throwing hands].",有话好好说，千万别动手。,5,2.2,5,0,340,
实在,shízài,This is a [real/actual] check; I’m not joking.,这是一张实在的支票，不是在开玩笑。,2,2.3,5,0,387,
实在,shízài,He is a very [honest/sincere] person; he never tells lies to trick people.,他那个人很实在，从不撒谎骗人。,2,2.3,5,0,387,
实在,shízài,The sun is [really/indeed] too strong today; I don't want to go out.,今天的太阳实在太大了，我不想出门。,2,2.3,5,0,387,
实在,shízài,The benefits he provides to the employees are very [substantial/significant].,他给员工提供的福利非常实在。,2,2.3,5,0,387,
实在,shízài,His advice is very [practical/down-to-earth]; it helped me solve quite a lot of trouble.,他的建议非常实在，帮我解决了不少麻烦。,2,2.3,5,0,387,
理想,lǐxiǎng,His [dream] is to become a doctor,他的理想是成为一名医生。,2,2.4,5,0,458,
理想,lǐxiǎng,We finally found an [ideal] house.,我们终于找到了一个理想的房子。,2,2.4,5,0,458,