"item","type","category","example sentence 1","chinese sentence 1","example sentence 2","chinese sentence 2","example sentence 3","chinese sentence 3","example sentence 4","chinese sentence 4"
"定语从句：[句子] + 的 + 名词","grammar","grammar_structure","The person who called me yesterday is my teacher.","昨天给我打电话的人是我的老师。","","","","","",""
"谁做动作 → 修饰谁","grammar","expression","The student who solved the problem explained it to the class.","解出那道题的学生向全班解释了答案。","","","","","",""
"V得 + 结果","grammar","grammar_structure","He spoke so clearly that everyone understood.","他说得很清楚，大家都听懂了。","","","","","",""
"Adj到 + 结果","grammar","grammar_structure","The weather became so cold that the river froze.","天气冷到河水都结冰了。","","","","","",""
"看得懂 / 看不懂","grammar","expression","I can understand this article, but I cannot understand that report.","这篇文章我看得懂，但是那份报告我看不懂。","","","","","",""
"如果 / 只要…就…","grammar","condition_sequence","If you finish early, then send me the file.","如果你早点做完，就把文件发给我。","","","","","",""
"…后 / …之后 / …以后","grammar","condition_sequence","After the meeting ends, we will discuss the plan.","会议结束以后，我们会讨论这个计划。","","","","","",""
"才","adverb","time_frequency","Only after he apologized did she forgive him.","他道歉以后，她才原谅他。","Only after finishing the report did he relax.","他写完报告以后，才放松下来。","She did not understand the joke until he explained it.","老师解释以后，她才明白这个笑话。","Only when the teacher arrived did the class become quiet.","老师来了以后，教室才安静下来。"
"把","grammar","grammar_structure","Please put the book on the table.","请把书放在桌子上。","","","","","",""
"被","grammar","grammar_structure","The window was broken by the strong wind.","窗户被大风吹破了。","","","","","",""
"上班 / 工作","grammar","comparison_collocation","He goes to work at nine, but he starts working at ten.","他九点去上班，但是十点才开始工作。","","","","","",""
"并不A，也不/也没有B","grammar","expression","This answer is not accurate, and it is not complete either.","这个答案并不准确，也不完整。","","","","","",""
"如果说…的话，也只是…","grammar","condition_sequence","If we call this a success, it is only a small success.","如果说这是成功的话，也只是一个小小的成功。","","","","","",""
"如果要说…","grammar","condition_sequence","If we must choose one reason, I think time is the biggest issue.","如果要说一个原因，我觉得时间是最大的问题。","","","","","",""
"和 / 跟…有什么不一样","grammar","comparison_collocation","What is the difference between this method and that method?","这个方法和那个方法有什么不一样？","","","","","",""
"对…来说","grammar","comparison_collocation","For beginners, this explanation is easier to understand.","对初学者来说，这个解释更容易理解。","","","","","",""
"不由得","adverb","attitude_intention","When I heard the news, I could not help laughing.","听到这个消息，我不由得笑了。","Seeing the old photo, she could not help crying.","看到那张旧照片，她不由得哭了。","After hearing his story, I could not help admiring him.","听完他的故事，我不由得佩服他。","When everyone laughed, he could not help smiling too.","大家都笑了，他也不由得笑了起来。"
"说不定","adverb","modality_nuance","Maybe he will change his mind tomorrow.","说不定他明天会改变主意。","Maybe we will meet him at the station.","说不定我们会在车站遇到他。","Perhaps the answer is simpler than we think.","说不定答案比我们想的简单。","Maybe she has already left the office.","说不定她已经离开办公室了。"
"有点","adverb","degree_emphasis","This soup is a little salty.","这碗汤有点咸。","This room is a little too dark.","这个房间有点太暗。","I feel a bit nervous before the interview.","面试前我有点紧张。","The explanation is a little difficult to follow.","这个解释有点难懂。"
"也只是","adverb","expression","It is only a temporary solution.","这也只是一个临时的办法。","It is only a suggestion, not a final decision.","这也只是一个建议，不是最后的决定。","His success is only the beginning of the project.","他的成功也只是这个项目的开始。","This is only one possible reason.","这也只是其中一个可能的原因。"
"那就是","adverb","expression","The real problem is that nobody wants to take responsibility.","真正的问题那就是没有人愿意负责。","The main problem is that we do not have enough time.","主要的问题那就是我们没有足够的时间。","My suggestion is that we start again tomorrow.","我的建议那就是明天重新开始。","The reason is that nobody checked the details.","原因那就是没有人检查细节。"
"在 + 地点","grammar","grammar_structure","He is waiting for you at the library.","他在图书馆等你。","","","","","",""
"…的时候","grammar","expression","When I was studying abroad, I met many kind people.","我在国外学习的时候，遇到了很多善良的人。","","","","","",""
"大地点 → 小地点","grammar","grammar_structure","The school is in Singapore, in the western part of the city.","这所学校在新加坡的西部。","","","","","",""
"话题 + 评论","grammar","grammar_structure","As for this plan, I think it needs more time.","这个计划，我觉得还需要更多时间。","","","","","",""
"直到","grammar","condition_sequence","He waited until midnight before going home.","他一直等到半夜才回家。","","","","","",""
"突然出现了","adverb","time_frequency","A stranger suddenly appeared at the door.","门口突然出现了一个陌生人。","A new problem suddenly appeared during the test.","测试时突然出现了一个新问题。","A strange sound suddenly appeared outside the room.","房间外面突然出现了奇怪的声音。","An error suddenly appeared on the screen.","屏幕上突然出现了一个错误。"
"V着 + 感受","grammar","expression","She listened to the music while feeling relaxed.","她听着音乐，觉得很放松。","","","","","",""
"还没来得及…就…","grammar","time_frequency","I had not even had time to explain before he left.","我还没来得及解释，他就走了。","","","","","",""
"从A变成B","grammar","grammar_structure","The small company gradually became a large organization.","那家小公司慢慢从小公司变成了大机构。","","","","","",""
"A被B取代","grammar","grammar_structure","Old methods were replaced by new technology.","旧方法被新技术取代了。","","","","","",""
"像…一样","grammar","comparison_collocation","She sings like a professional singer.","她唱歌像专业歌手一样。","","","","","",""
"仿佛…","grammar","modality_nuance","It seemed as if time had stopped.","时间仿佛停止了。","","","","","",""
"看见 / 听见 + 宾语 + 动作","grammar","grammar_structure","I saw him walk into the classroom.","我看见他走进教室。","","","","","",""
"把…引向…","grammar","grammar_structure","This clue led the police to the truth.","这条线索把警察引向了真相。","","","","","",""
"那里站着…","grammar","grammar_structure","There stood a tall guard at the entrance.","入口那里站着一名高大的警卫。","","","","","",""
"那里有…","grammar","grammar_structure","There is a small cafe beside the station.","车站旁边那里有一家小咖啡馆。","","","","","",""
"连…都…","grammar","degree_emphasis","Even my younger brother can solve this problem.","连我弟弟都能解出这道题。","","","","","",""
"不只是A，连B也…","grammar","degree_emphasis","Not only the students, even the teachers were surprised.","不只是学生，连老师也很惊讶。","","","","","",""
"似乎","adverb","modality_nuance","He seems to know the answer already.","他似乎已经知道答案了。","He seems to be hiding something.","他似乎在隐瞒什么。","This method seems to work better.","这个方法似乎更有效。","She seems to have misunderstood the question.","她似乎误会了这个问题。"
"好像","adverb","modality_nuance","It looks like it is going to rain.","好像快要下雨了。","It looks as if he has already heard the news.","他好像已经听说这个消息了。","She seems like she is waiting for someone.","她好像在等人。","It looks like the meeting has been cancelled.","会议好像已经取消了。"
"看起来","adverb","modality_nuance","This plan looks very practical.","这个计划看起来很实用。","This problem looks simple, but it is not.","这个问题看起来简单，其实不简单。","He looks very tired today.","他今天看起来很累。","The plan looks reasonable at first.","这个计划一开始看起来很合理。"
"一边…一边…","grammar","grammar_structure","She listened to music while doing homework.","她一边听音乐，一边做作业。","","","","","",""
"说到一半","grammar","grammar_structure","He stopped halfway through his sentence.","他说到一半就停了下来。","","","","","",""
"试图","adverb","attitude_intention","They tried to solve the problem peacefully.","他们试图和平解决这个问题。","They tried to explain the mistake clearly.","他们试图把错误解释清楚。","He attempted to open the locked door.","他试图打开那扇锁着的门。","The company tried to reduce costs this year.","公司今年试图降低成本。"
"想要","adverb","attitude_intention","I want to learn Mandarin well.","我想要学好中文。","I want to improve my Chinese pronunciation.","我想要提高中文发音。","She wants to apply for that job.","她想要申请那份工作。","They want to move closer to the school.","他们想要搬到离学校近一点的地方。"
"太…以至于…","grammar","connector_discourse","The movie was so touching that many people cried.","这部电影太感人，以至于很多人都哭了。","","","","","",""
"…得没法…","grammar","degree_emphasis","He was so tired that he could not walk anymore.","他累得没法再走路了。","","","","","",""
"如果这是…的话","grammar","condition_sequence","If this is a mistake, then we should correct it immediately.","如果这是错误的话，我们应该马上改正。","","","","","",""
"和…一样","grammar","comparison_collocation","My opinion is the same as yours.","我的看法和你一样。","","","","","",""
"带着…的表情","grammar","grammar_structure","He looked at me with a confused expression.","他带着困惑的表情看着我。","","","","","",""
"这才…","grammar","time_frequency","Only then did I realize what had happened.","这才让我意识到发生了什么。","","","","","",""
"回过神来","grammar","grammar_structure","After a moment, he came back to his senses.","过了一会儿，他才回过神来。","","","","","",""
"沉浸在…中","grammar","grammar_structure","She was immersed in the story.","她沉浸在这个故事中。","","","","","",""
"每当…就…","grammar","condition_sequence","Whenever he hears this song, he thinks of home.","每当他听到这首歌，就会想起家。","","","","","",""
"说好听点…","grammar","expression","To put it nicely, this design is very creative.","说好听点，这个设计很有创意。","","","","","",""
"说难听点…","grammar","expression","To put it bluntly, this plan is unrealistic.","说难听点，这个计划不现实。","","","","","",""
"从小…","grammar","expression","He has loved reading since childhood.","他从小就喜欢阅读。","","","","","",""
"总之","adverb","connector_discourse","In short, we need a better solution.","总之，我们需要一个更好的办法。","In short, this plan needs more work.","总之，这个计划还需要改进。","All in all, we should not give up.","总之，我们不应该放弃。","In conclusion, the result is better than expected.","总之，结果比预想的好。"
"不管怎样","grammar","condition_sequence","No matter what, we must finish this task today.","不管怎样，我们今天必须完成这个任务。","","","","","",""
"比起A，B…","grammar","expression","Compared with coffee, I prefer tea.","比起咖啡，我更喜欢茶。","","","","","",""
"果然","adverb","modality_nuance","As expected, he arrived late again.","果然，他又迟到了。","As expected, it started raining after lunch.","果然，午饭后开始下雨了。","Sure enough, he forgot the appointment again.","果然，他又忘了约会。","As expected, the new method solved the problem.","果然，新方法解决了这个问题。"
"从…来看","grammar","connector_discourse","From his reaction, he probably already knew the truth.","从他的反应来看，他可能早就知道真相了。","","","","","",""
"根据…","grammar","connector_discourse","According to the report, prices will continue to rise.","根据报告，价格会继续上涨。","","","","","",""
"难道…","grammar","modality_nuance","Could it be that you still do not understand?","难道你还不明白吗？","","","","","",""
"该不会…吧","grammar","modality_nuance","Could it be that he forgot the meeting?","他该不会忘了会议吧？","","","","","",""
"只好","adverb","attitude_intention","There was no bus, so we had no choice but to walk.","没有公交车，我们只好走路。","The shop was closed, so we had no choice but to leave.","商店关门了，我们只好离开。","I lost my ticket, so I had to buy another one.","我把票弄丢了，只好再买一张。","Nobody answered, so she had no choice but to wait.","没人接电话，她只好继续等。"
"只能","adverb","attitude_intention","We can only wait for the result.","我们只能等结果。","We can only accept the result.","我们只能接受这个结果。","He can only stay at home this weekend.","这个周末他只能待在家里。","At this point, we can only try again.","到了这个时候，我们只能再试一次。"
"以…起誓","grammar","attitude_intention","I swear by my honor that I did not lie.","我以我的名誉起誓，我没有说谎。","","","","","",""
"虽然…但…","grammar","condition_sequence","Although it was raining, we still went out.","虽然下雨了，但我们还是出去了。","","","","","",""
"一定","adverb","modality_nuance","He will definitely come back.","他一定会回来。","She will definitely pass the exam.","她一定会通过考试。","You must tell me the truth.","你一定要告诉我真相。","He is certain to remember this day.","他一定会记住这一天。"
"至于…","grammar","connector_discourse","As for payment, we can discuss it later.","至于付款的事，我们可以以后再讨论。","","","","","",""
"看起来像是…","grammar","modality_nuance","It looks like he is angry.","他看起来像是生气了。","","","","","",""
"足够…","grammar","degree_emphasis","This room is big enough for ten people.","这个房间足够大，可以容纳十个人。","","","","","",""
"请随意…","grammar","attitude_intention","Please feel free to ask questions.","请随意提问。","","","","","",""
"由于","adverb","connector_discourse","Due to the heavy rain, the match was cancelled.","由于大雨，比赛取消了。","Due to the delay, we missed the train.","由于延误，我们错过了火车。","Because of the new rule, everyone must register.","由于新规定，大家都必须登记。","Due to illness, he cancelled the meeting.","由于生病，他取消了会议。"
"因为","adverb","connector_discourse","Because he was sick, he did not attend class.","因为他生病了，所以没有上课。","Because it was late, we took a taxi home.","因为时间太晚了，我们打车回家。","He stayed home because he had a fever.","因为他发烧了，所以待在家里。","Because the road was blocked, we turned back.","因为道路堵住了，我们只好返回。"
"首先","adverb","connector_discourse","First, we need to understand the rules.","首先，我们需要了解规则。","First, we need to check the data.","首先，我们需要检查数据。","First of all, let me introduce myself.","首先，请让我介绍一下自己。","First, clean the table before cooking.","首先，做饭前要把桌子擦干净。"
"最重要的是","adverb","connector_discourse","Most importantly, we must stay calm.","最重要的是，我们必须保持冷静。","Most importantly, everyone must stay safe.","最重要的是，大家都要安全。","The most important thing is to understand the reason.","最重要的是要理解原因。","Most importantly, do not forget the deadline.","最重要的是，不要忘记截止日期。"
"是否","adverb","modality_nuance","I do not know whether he agrees.","我不知道他是否同意。","I want to know whether this answer is correct.","我想知道这个答案是否正确。","Please confirm whether he can attend.","请确认他是否能参加。","We must decide whether to continue.","我们必须决定是否继续。"
"请容我…","grammar","attitude_intention","Please allow me to explain my opinion.","请容我解释一下我的看法。","","","","","",""
"除了…之外，还…","grammar","comparison_collocation","Besides Chinese, he also studies Japanese.","除了中文之外，他还学日文。","","","","","",""
"…是很常见的","grammar","expression","It is common to make mistakes when learning a language.","学习语言时犯错误是很常见的。","","","","","",""
"差不多该…了","grammar","expression","It is almost time to leave.","差不多该走了。","","","","","",""
"回到正题","adverb","connector_discourse","Let us return to the main topic.","我们先回到正题，讨论今天的计划。","After that short story, let us get back to the point.","讲完这个小故事以后，我们回到正题吧。","Before the meeting ends, I want to return to the main issue.","会议结束前，我想回到正题。","We can talk about travel later; for now, let us return to the lesson.","旅游的事以后再说，现在我们回到正题。"
"关于…","grammar","connector_discourse","Regarding this issue, I have two suggestions.","关于这个问题，我有两个建议。","","","","","",""
"回答…","grammar","comparison_collocation","Please answer my question directly.","请直接回答我的问题。","","","","","",""
"要等…之后才能…","grammar","condition_sequence","We have to wait until he arrives before we can start.","要等他到了之后，我们才能开始。","","","","","",""
"即使…也…","grammar","condition_sequence","Even if it is difficult, we should still try.","即使很难，我们也应该试一试。","","","","","",""
"和…不同","grammar","comparison_collocation","This result is different from what I expected.","这个结果和我预想的不同。","","","","","",""
"…到让人…","grammar","degree_emphasis","The room was so quiet that it made people nervous.","房间安静到让人紧张。","","","","","",""
"甚至到了…的程度","grammar","degree_emphasis","He was angry to the point of refusing to speak.","他生气甚至到了不愿意说话的程度。","","","","","",""
"取决于是否…","grammar","connector_discourse","The result depends on whether everyone cooperates.","结果取决于大家是否合作。","","","","","",""
"据我所知","adverb","connector_discourse","As far as I know, she has already resigned.","据我所知，她已经辞职了。","As far as I know, this rule has not changed.","据我所知，这个规定还没有改变。","As far as I know, he will arrive tomorrow morning.","据我所知，他明天早上会到。","As far as I know, they have never met before.","据我所知，他们以前从来没有见过面。"
"大约","adverb","expression","There were about thirty people at the event.","活动现场大约有三十个人。","The trip takes about two hours.","这趟旅程大约需要两个小时。","There were about fifty people in the room.","房间里大约有五十个人。","The package will arrive in about three days.","包裹大约三天后会到。"
"更准确地说","adverb","connector_discourse","More accurately, this is not a mistake but a misunderstanding.","更准确地说，这不是错误，而是误会。","More accurately, he is my former classmate, not my coworker.","更准确地说，他是我以前的同学，不是我的同事。","More accurately, the problem started last week.","更准确地说，问题是上个星期开始的。","More accurately, we need three days, not two.","更准确地说，我们需要三天，不是两天。"
"为了…并…","grammar","comparison_collocation","In order to save time and improve efficiency, we changed the process.","为了节省时间并提高效率，我们改变了流程。","","","","","",""
"每N年一次","adverb","expression","This meeting is held once every two years.","这个会议每两年一次。","The medical checkup is required once every three years.","这个体检每三年一次。","That competition takes place once every four years.","那个比赛每四年一次。","Our company reviews this policy once every five years.","我们公司每五年一次检查这个政策。"
"如果他愿意的话","grammar","condition_sequence","If he is willing, we can invite him to join.","如果他愿意的话，我们可以邀请他加入。","","","","","",""
"过去也有…的情况","grammar","expression","There have been similar situations in the past.","过去也有类似的情况。","","","","","",""
"尽情地","adverb","attitude_intention","Please enjoy yourself as much as you like tonight.","今晚请尽情地享受。","The children played as much as they liked.","孩子们尽情地玩了一下午。","Please enjoy the music freely.","请尽情地欣赏音乐。","They celebrated freely after winning the match.","赢了比赛以后，他们尽情地庆祝。"
"已经","adverb","time_frequency","I have already finished the homework.","我已经写完作业了。","He has already sent the email.","他已经把邮件发出去了。","The train has already left.","火车已经开走了。","I have already eaten dinner.","我已经吃过晚饭了。"
"正在","adverb","time_frequency","She is currently preparing for the exam.","她正在准备考试。","She is currently answering a phone call.","她正在接电话。","They are discussing the problem now.","他们正在讨论这个问题。","The workers are repairing the road.","工人们正在修路。"
"刚刚","adverb","time_frequency","He just called me.","他刚刚给我打电话。","I just finished the meeting.","我刚刚开完会。","He just arrived at the office.","他刚刚到办公室。","She just sent me a message.","她刚刚给我发了消息。"
"马上","adverb","time_frequency","I will come back immediately.","我马上回来。","I will call you right away.","我马上给你打电话。","The movie will start soon.","电影马上开始。","Please come here immediately.","请你马上过来。"
"立刻","adverb","time_frequency","Please leave immediately.","请立刻离开。","Stop the machine immediately.","请立刻停止机器。","He left immediately after hearing the news.","听到消息后，他立刻离开了。","Please reply immediately.","请立刻回复。"
"曾经","adverb","time_frequency","I once lived in Beijing.","我曾经住在北京。","I once worked in that company.","我曾经在那家公司工作。","She once studied in Shanghai.","她曾经在上海学习。","This place was once very famous.","这个地方曾经很有名。"
"暂时","adverb","time_frequency","We will temporarily stop this project.","我们暂时停止这个项目。","We will temporarily close the office.","我们会暂时关闭办公室。","He is temporarily living with his friend.","他暂时住在朋友家。","This problem can be ignored for now.","这个问题暂时可以不管。"
"最近","adverb","time_frequency","Recently, he has been very busy.","最近他很忙。","Recently, I have been sleeping badly.","最近我睡得不太好。","She has been learning Chinese recently.","她最近在学中文。","The weather has been strange lately.","最近天气有点奇怪。"
"终于","adverb","time_frequency","After many attempts, he finally succeeded.","经过多次尝试，他终于成功了。","After three hours, we finally arrived.","三个小时以后，我们终于到了。","He finally understood the rule.","他终于明白了这个规则。","The problem was finally solved.","这个问题终于解决了。"
"一直","adverb","time_frequency","She has always supported my decision.","她一直支持我的决定。","He has always believed in this idea.","他一直相信这个想法。","She kept waiting until midnight.","她一直等到半夜。","I have been studying Chinese all afternoon.","我整个下午一直在学中文。"
"经常","adverb","time_frequency","He often goes to the library after class.","他经常下课后去图书馆。","He often exercises in the morning.","他经常早上运动。","We often eat at this restaurant.","我们经常在这家餐厅吃饭。","She often forgets her keys.","她经常忘记带钥匙。"
"常常","adverb","time_frequency","We frequently discuss this topic.","我们常常讨论这个话题。","He frequently visits his grandparents.","他常常去看望爷爷奶奶。","I often think about that conversation.","我常常想起那次谈话。","They often work late.","他们常常工作到很晚。"
"偶尔","adverb","time_frequency","I occasionally drink coffee in the afternoon.","我偶尔下午喝咖啡。","I occasionally go hiking on weekends.","我周末偶尔去爬山。","She sometimes drinks tea at night.","她晚上偶尔喝茶。","He occasionally writes poetry.","他偶尔写诗。"
"很少","adverb","time_frequency","He rarely watches television.","他很少看电视。","He rarely complains about work.","他很少抱怨工作。","We rarely see snow here.","我们这里很少下雪。","She seldom eats fast food.","她很少吃快餐。"
"从不","adverb","time_frequency","She never eats breakfast.","她从不吃早饭。","He never arrives late.","他从不迟到。","She never lies to her friends.","她从不对朋友说谎。","I never drink coffee at night.","我晚上从不喝咖啡。"
"往往","adverb","time_frequency","People often ignore small details.","人们往往忽略小细节。","Small mistakes often lead to big problems.","小错误往往会造成大问题。","People often regret speaking too quickly.","人们往往后悔说话太快。","Success often depends on preparation.","成功往往取决于准备。"
"再三","adverb","time_frequency","He repeatedly reminded me not to be late.","他再三提醒我不要迟到。","He repeatedly asked me to be careful.","他再三要求我小心。","The teacher reminded us again and again.","老师再三提醒我们。","She checked the address repeatedly.","她再三检查地址。"
"大概","adverb","modality_nuance","He is probably still at the office.","他大概还在办公室。","He is probably at home now.","他现在大概在家。","The meeting will probably end at five.","会议大概五点结束。","There are probably twenty students here.","这里大概有二十个学生。"
"可能","adverb","modality_nuance","This plan may not work.","这个计划可能行不通。","This answer may be wrong.","这个答案可能是错的。","He might come tomorrow.","他明天可能会来。","The plan may change later.","计划以后可能会改变。"
"也许","adverb","modality_nuance","Maybe we should ask for help.","也许我们应该求助。","Maybe she forgot the time.","也许她忘了时间。","Perhaps this is the best choice.","也许这是最好的选择。","Maybe we should try another way.","也许我们应该换一种方法。"
"未必","adverb","modality_nuance","He may not necessarily agree with you.","他未必会同意你。","Expensive things are not necessarily better.","贵的东西未必更好。","He may not agree with this decision.","他未必同意这个决定。","A fast answer is not necessarily correct.","回答得快未必代表正确。"
"居然","adverb","expression","He actually forgot his own birthday.","他居然忘了自己的生日。","He actually solved the problem alone.","他居然一个人解决了问题。","She unexpectedly arrived before us.","她居然比我们先到。","He actually said yes.","他居然答应了。"
"偏偏","adverb","expression","Of all days, it just had to rain today.","偏偏今天下雨了。","Of all times, the phone rang during the exam.","偏偏考试的时候电话响了。","It just had to rain on our picnic day.","偏偏野餐那天下雨。","He chose the one answer I disliked most.","他偏偏选了我最不喜欢的答案。"
"幸好","adverb","expression","Fortunately, we arrived before the door closed.","幸好我们在关门前到了。","Fortunately, nobody was hurt.","幸好没有人受伤。","Luckily, I brought an umbrella.","幸好我带了伞。","Fortunately, the train was late too.","幸好火车也晚点了。"
"差点","adverb","expression","I almost missed the train.","我差点错过火车。","I almost forgot your birthday.","我差点忘了你的生日。","He nearly fell into the river.","他差点掉进河里。","We almost missed the last bus.","我们差点错过末班车。"
"完全","adverb","degree_emphasis","I completely agree with your opinion.","我完全同意你的看法。","I completely forgot about the meeting.","我完全忘了会议。","This answer is completely wrong.","这个答案完全错了。","She completely understood his meaning.","她完全明白他的意思。"
"相当","adverb","degree_emphasis","This question is quite difficult.","这个问题相当难。","This article is quite useful.","这篇文章相当有用。","The exam was rather difficult.","考试相当难。","He is quite confident today.","他今天相当有信心。"
"十分","adverb","degree_emphasis","I am very grateful for your help.","我十分感谢你的帮助。","I am very satisfied with the result.","我对这个结果十分满意。","The teacher was extremely patient.","老师十分有耐心。","This method is very effective.","这个方法十分有效。"
"极其","adverb","degree_emphasis","The situation is extremely serious.","情况极其严重。","This issue is extremely important.","这个问题极其重要。","The weather was extremely cold.","天气极其寒冷。","His explanation was extremely clear.","他的解释极其清楚。"
"格外","adverb","degree_emphasis","Today feels especially cold.","今天格外冷。","She was especially happy today.","她今天格外开心。","The city looks especially beautiful at night.","这座城市晚上格外美。","He was particularly careful this time.","他这次格外小心。"
"颇","adverb","degree_emphasis","He is rather interested in this topic.","他对这个话题颇感兴趣。","He is rather talented at writing.","他颇有写作天赋。","This problem is quite interesting.","这个问题颇有意思。","The result was rather surprising.","结果颇令人惊讶。"
"略微","adverb","degree_emphasis","The price increased slightly.","价格略微上涨了。","The temperature dropped slightly.","气温略微下降了。","He nodded slightly.","他略微点了点头。","The price increased a little.","价格略微提高了一点。"
"因此","adverb","connector_discourse","The road was closed; therefore, we had to turn back.","道路封闭了，因此我们只好返回。","He missed the bus; therefore, he was late.","他错过了公交车，因此迟到了。","The data was incomplete; therefore, we delayed the report.","资料不完整，因此我们推迟了报告。","She worked hard; therefore, she improved quickly.","她努力学习，因此进步很快。"
"所以","adverb","connector_discourse","He was sick, so he stayed at home.","他生病了，所以待在家里。","It was raining, so we stayed inside.","下雨了，所以我们待在室内。","He was tired, so he went home early.","他累了，所以早点回家。","The shop was closed, so we left.","商店关门了，所以我们离开了。"
"于是","adverb","connector_discourse","The bell rang, so the students entered the classroom.","铃响了，于是学生们走进教室。","He heard the news, so he called me immediately.","他听到消息，于是马上给我打电话。","The child was hungry, so his mother cooked noodles.","孩子饿了，于是妈妈煮了面。","Everyone agreed, so we started the project.","大家都同意，于是我们开始项目。"
"因而","adverb","connector_discourse","The evidence was insufficient; therefore, the case was delayed.","证据不足，因而案件被推迟了。","The evidence was weak; therefore, the decision was postponed.","成本增加，因而价格上涨了。","Costs increased; as a result, prices rose.","他每天训练，因而进步很快。","He trained every day; therefore, he improved quickly.","资料不足，因而结论还不能确定。"
"然而","adverb","connector_discourse","I wanted to help; however, I did not have enough time.","我想帮忙，然而时间不够。","I wanted to join; however, I was too busy.","我想参加，然而太忙了。","The idea sounds good; however, it is hard to do.","这个想法听起来不错，然而很难实行。","He studied hard; however, he still failed.","他很努力，然而还是失败了。"
"不过","adverb","connector_discourse","The price is high, but the quality is good.","价格很高，不过质量很好。","The room is small, but it is comfortable.","房间很小，不过很舒服。","I like this plan, but it needs more detail.","我喜欢这个计划，不过还需要更多细节。","He is young, but he is very responsible.","他很年轻，不过很负责。"
"而且","adverb","connector_discourse","He is smart, and he is also hardworking.","他很聪明，而且很努力。","This phone is cheap, and it is also durable.","这部手机便宜，而且耐用。","He is friendly and also very patient.","他很友好，而且很有耐心。","The method is simple and effective.","这个方法简单，而且有效。"
"不但…还…","grammar","connector_discourse","He not only speaks Mandarin, but also writes it well.","他不但会说中文，还写得很好。","","","","","",""
"再说","adverb","connector_discourse","Besides, we do not have enough money.","再说，我们没有足够的钱。","Besides, we do not have enough time.","再说，我们没有足够的时间。","Moreover, this option is too expensive.","再说，这个选择太贵了。","Besides, nobody agreed with the plan.","再说，没有人同意这个计划。"
"同时","adverb","connector_discourse","At the same time, we must consider safety.","同时，我们必须考虑安全。","At the same time, we must protect privacy.","同时，我们也要保护隐私。","She works and studies at the same time.","她同时工作和学习。","We need speed, but at the same time we need accuracy.","我们需要速度，同时也需要准确。"
